DATA,STAGIONE,ANNO,STATO_RESIDENZA,Totale
200604,PRIMAVERA,2006,DANIMARCA,2303.066175
200604,PRIMAVERA,2006,FINLANDIA,1693.94405405
200604,PRIMAVERA,2006,FRANCIA,913.97525286
200604,PRIMAVERA,2006,GERMANIA,999.131573757
200604,PRIMAVERA,2006,GIAPPONE,1812.68650943
200604,PRIMAVERA,2006,GRECIA,1290.20830189
200604,PRIMAVERA,2006,INDIA,880.00132
200604,PRIMAVERA,2006,IRLANDA,1469.61797297
200604,PRIMAVERA,2006,MESSICO,1519.60184615
200604,PRIMAVERA,2006,NORVEGIA,1764.06089706
200604,PRIMAVERA,2006,OLANDA,1263.1696087
200604,PRIMAVERA,2006,POLONIA,1087.77635036
200604,PRIMAVERA,2006,PORTOGALLO,1686.9086
200604,PRIMAVERA,2006,REGNO UNITO,1034.90344204
200604,PRIMAVERA,2006,ROMANIA,1462.89289167
200604,PRIMAVERA,2006,RUSSIA,1651.3425
200604,PRIMAVERA,2006,"SLOVACCA, REPUBBLICA",1093.62287234
200604,PRIMAVERA,2006,SLOVENIA,69.4342317073
200604,PRIMAVERA,2006,SPAGNA,1389.83890464
